,UserName,SocialMedia,Total_Followers,Incremental_Followers,Last_Event,Last_Event_TimeAgo
0,PadreHimalaya,Soundcloud,351,10.0,2018-07-25 22:31:27,2018-07-25 16:10:06
1,PadreHimalaya,Soundcloud,188,20.0,2018-07-25 23:07:22,2018-07-25 16:10:41
